1001	1001	5
1002	1001	12
1003	1001	6
1004	1001	5
1005	1001	7
1006	1001	22
1007	1001	5
1008	1001	6
1009	1001	7
1010	1001	8
1011	1001	9
1012	1001	15
1013	1001	52
1014	1001	6
1015	1001	10
1016	1001	11
1017	1001	12
1018	1001	51
1019	1001	588
1020	1001	52
1001	1002	5
1002	1002	5
1003	1002	5
1004	1002	5
1005	1002	5
1006	1002	5
1007	1002	5
1008	1002	5
1009	1002	5
1010	1002	5
1011	1002	5
1012	1002	5
1013	1002	5
1014	1002	5
1015	1002	5
1016	1002	5
1017	1002	5
1018	1002	5
1019	1002	5
1020	1002	5
1001	1003	5
1002	1003	5
1003	1003	5
1004	1003	5
1005	1003	5
1006	1003	5
1007	1003	5
1008	1003	5
1009	1003	5
1010	1003	5
1011	1003	5
1012	1003	5
1013	1003	5
1014	1003	5
1015	1003	5
1016	1003	5
1017	1003	5
1018	1003	5
1019	1003	5
1020	1003	5
1001	1004	5
1002	1004	5
1003	1004	5
1004	1004	5
1005	1004	5
1006	1004	5
1007	1004	5
1008	1004	5
1009	1004	5
1010	1004	5
1011	1004	5
1012	1004	5
1013	1004	5
1014	1004	5
1015	1004	5
1016	1004	5
1017	1004	5
1018	1004	5
1019	1004	5
1020	1004	5
1001	1005	5
1002	1005	5
1003	1005	5
1004	1005	5
1005	1005	5
1006	1005	5
1007	1005	5
1008	1005	5
1009	1005	5
1010	1005	5
1011	1005	5
1012	1005	5
1013	1005	5
1014	1005	5
1015	1005	5
1016	1005	5
1017	1005	5
1018	1005	5
1019	1005	5
1020	1005	5
