1001	1001	1003	20161011	20161025
1002	1002	1004	20161112	20161126
1003	1003	1005	20161213	20161227
1004	1004	1006	20160114	20160128
1005	1005	1007	20160215	20160229
1006	1001	1009	20160316	20160330
1007	1001	1009	20160417	20160514
1008	1001	1009	20160518	20160615
1009	1001	1009	20160619	20160716
1010	1001	1009	20160720	20160817
1011	1001	1003	20160821	20160918
1012	1002	1004	20160922	20161019
1013	1003	1005	20171023	20170117
1014	1004	1006	20171124	20170128
1015	1005	1007	20171225	20180109
1016	1002	1001	20170126	20170210
1017	1003	1004	20170227	20170311
1018	1003	1004	20170328	20170412
1019	1003	1004	20170429	20170513
1020	1003	1004	20170530	20170614
1001	1003	1004	20170611	20170615
1002	1003	1004	20170712	20170726
1003	1004	1001	20170813	20170827
1004	1005	1002	20170914	20170928
1005	1002	1003	20171015	20171029
1006	1001	1004	20171116	20171130
1007	1002	1005	20171217	20180102
1008	1003	1006	20170118	20170203
1010	1005	1008	20170320	20170405
1011	1001	1009	20170421	20170506
1012	1002	1010	20170522	20170607
1013	1003	1001	20170623	20170708
1014	1004	1002	20170724	20170809
1015	1005	1003	20170825	20170910
1016	1003	1004	20170926	20171011
1017	1001	1005	20171027	20171112
1018	1002	1006	20161128	20161213
1019	1003	1007	20161229	20170114
1020	1004	1008	20160130	20160215
1001	1005	1009	20160211	20160226
1002	1004	1010	20160312	20160327
1003	1005	1001	20160413	20160428
1004	1001	1002	20160514	20160529
1006	1003	1004	20160716	20160730
1007	1004	1005	20160817	20160902
1008	1005	1006	20160918	20161003
1009	1004	1007	20161019	20161104
1014	1004	1005	20160324	20160409
1015	1005	1006	20160425	20160510
1016	1005	1007	20160526	20160611
1017	1001	1001	20160627	20160712
1018	1002	1007	20160728	20160813
1019	1003	1008	20160829	20160914
1020	1004	1003	20160930	20161015
