1001	1001	1003	10/11/2016	10/25/2016
1002	1002	1004	11/12/2016	11/26/2016
1003	1003	1005	12/13/2016	12/27/2016
1004	1004	1006	1/14/2016	1/6/2017
1005	1005	1007	2/15/2016	2/29/2016
1006	1001	1009	3/16/2016	3/30/2016
1007	1001	1009	4/17/2016	5/14/2016
1008	1001	1009	5/18/2016	6/15/2016
1009	1001	1009	6/19/2016	7/16/2016
1010	1001	1009	7/20/2016	8/17/2016
1011	1001	1003	8/21/2016	9/18/2016
1012	1002	1004	9/22/2016	10/19/2016
1013	1003	1005	10/23/2017	11/7/2017
1014	1004	1006	11/24/2017	12/8/2017
1015	1005	1007	12/25/2017	1/5/2017
1016	1002	1002	1/26/2017	2/10/2017
1017	1003	1004	2/27/2017	3/11/2017
1018	1003	1004	3/28/2017	4/12/2017
1019	1003	1004	4/29/2017	5/13/2017
1020	1003	1004	5/30/2017	6/14/2017
1001	1003	1004	6/11/2017	6/15/2017
1002	1003	1004	7/12/2017	7/26/2017
1003	1004	1002	8/13/2017	8/27/2017
1004	1005	1002	9/14/2017	9/28/2017
1006	1001	1004	11/16/2017	11/30/2017
1007	1002	1005	12/17/2017	1/2/2018
1008	1003	1006	1/18/2017	2/3/2017
1016	1003	1004	9/26/2017	10/11/2017
1017	1001	1005	10/27/2017	11/12/2017
1018	1002	1006	11/28/2016	12/13/2016
1019	1003	1007	12/29/2016	1/7/2017
1020	1004	1008	1/30/2016	2/14/2016
1001	1005	1009	2/11/2016	2/25/2016
1002	1004	1010	3/12/2016	3/26/2016
1003	1005	1002	4/13/2016	4/27/2016
1004	1001	1002	5/14/2016	5/28/2016
1005	1002	1003	6/15/2016	6/29/2016
1006	1003	1004	7/16/2016	7/30/2016
1007	1004	1005	8/17/2016	9/2/2016
1008	1005	1006	9/18/2016	10/3/2016
1009	1004	1007	10/19/2016	11/4/2016
1010	1005	1008	11/20/2016	12/5/2016
1011	1001	1009	12/21/2016	1/6/2017
1012	1002	1010	1/22/2016	2/7/2016
1013	1003	1002	2/23/2016	3/8/2016
1014	1004	1002	3/24/2016	4/9/2016
1016	1005	1004	5/26/2016	6/11/2016
